english_text,uzbek_text,label
i liked my keyboard being kicked in my teeth and feeling lousy about myself as a writer but because i want to know how i can improve and wonder what i did wrong to earn only one star,"Menga klaviaturamning tishimga tegishi va yozuvchi sifatida o'zimni yomon his qilishim yoqdi, lekin men qanday qilib yaxshilanishim va faqat bitta yulduzga ega bo'lish uchun nima noto'g'ri qilganimni bilmoqchiman.",0
i feel the less successful pieces were my two front covers as the images i used here were taken from movie stills,"O'ylaymanki, unchalik muvaffaqiyatli bo'lmagan qismlar mening ikkita old muqovam bo'lgan, chunki bu erda ishlatgan tasvirlar kino kadrlaridan olingan",1
i have the emotions but have learned that to feel them to let myself become agitated or excited means that my heart and heat jumps the regulated limits of what can be sustained,"Menda his-tuyg'ular bor, lekin o'rgandimki, ularni his qilish o'zimni hayajonga solishi yoki hayajonlanishiga yo'l qo'ymaslik, mening yuragim va issiqligim ushlab turish mumkin bo'lgan chegaralardan oshib ketishini anglatadi.",4
i feel confident that we will be blessed with other children in the lords timing,"Ishonchim komilki, biz lordlar vaqtida boshqa bolalar bilan baraka topamiz",1
i am pleased and a little disturbed i guess that these feelings of melancholy lead me right back to the thing that brings them on,"Men mamnunman va biroz bezovta bo'ldim, o'ylaymanki, bu g'amgin tuyg'ular meni darhol ularni keltirib chiqaradigan narsaga qaytaradi",0
i feel like it is conor at his most sincere,Men buni Konorning eng samimiyligi kabi his qilyapman,1
i know i should just let the words flow like how they do when i blog but still i feel the pressure and that is making me unsure of my skills,"Bilamanki, so‘zlarning blog yuritayotganda qanday bo‘lishini ta’minlashim kerak, lekin baribir men bosimni his qilyapman va bu mening mahoratimga ishonchim komil emas.",4
i may be feeling more generous than normal but i really think a lot of teams did well in drafting good players at good spots and filling needs,"Men o'zimni odatdagidan ko'ra saxiyroq his qilayotgandirman, lekin o'ylaymanki, ko'plab jamoalar yaxshi o'yinchilarni yaxshi o'rinlarda to'plash va ehtiyojlarni qondirishda yaxshi ish qilishdi.",1
ill let you in on a few more huge dieting secrets just because im feeling very festive and giving right now,Men o'zimni hozir juda bayram va sovg'a sifatida his qilganim uchun sizga yana bir nechta katta parhez sirlarini ochishga ruxsat beraman,1
i feel as though you are determined to annoy me you know i dont want you listening to the radio,"Siz meni bezovta qilmoqchi bo'lgandek his qilyapman, siz radio tinglashingizni xohlamasligimni bilasiz",1
i feel like i ll never be as graceful an,Men o'zimni hech qachon bu qadar nafis bo'lolmayman deb his qilyapman,1
i am feeling stressed,Men stressni his qilyapman,0
i don t feel super strongly about it,Men bu haqda juda kuchli his qilmayman,1
i can feel the cold of winter,Men qishning sovuqligini his qilyapman,3
i feel and look gorgeous beautiful and sexy,Men o'zimni go'zal va jozibali his qilaman va ko'raman,1
im feeling all triumphant you may high five me if you choose mind you ill laugh at you but,"Men o'zimni g'alaba qozongandek his qilyapman, agar siz aqlni tanlasangiz, menga beshta bo'lishingiz mumkin, lekin siz ustidan kulasiz",1
i can no longer wear my t shirts without feeling like i m supporting a totally different band,"Men endi futbolkalarimni kiyolmayman, o'zimni butunlay boshqa guruhni qo'llab-quvvatlayotgandek his qilmayman",1
ive been without a home without somewhere that i feel truly welcomed and safe,Men o'zimni chinakam kutib olingan va xavfsiz his qiladigan joysiz uysiz qoldim,1
i feel more in control and less frightened about my headaches and migraine attacks excellent service,Men o'zimni ko'proq nazorat ostida his qilyapman va bosh og'rig'im va migren hujumlari haqida kamroq qo'rqaman,4
i am feeling extremely contented with our decision to home educate,Men uyda ta'lim olish qarorimizdan juda mamnunman,1
i guess the trick is i need to go in strong and get what i want and not feel bashful over it,"O'ylaymanki, bu hiyla men kuchli bo'lishim va xohlagan narsamga erishishim kerak va bundan uyalmaslik kerak",4
i was a bit too nervous to focus on the faces and the feeling was not unpleasant i wanted to put in a joke to start with especially since it involved the key note speaker and i thought it was funny,"Men yuzlarga e'tibor qaratish uchun biroz asabiylashdim va bu tuyg'u yoqimsiz emas edi, men hazil qilishni xohladim, ayniqsa asosiy nota spikeriga tegishli edi va men buni kulgili deb o'yladim.",0
im starting to dislike the feeling of not caring about whats going to happen tomorrow,Men ertaga nima bo'lishini o'ylamaslik hissini yoqtira boshladim,2
i really dont like the whole harvest y time feel im not keen on spending my time in the morning attempting to style my hair only to have it completely ruined within a minute of walking outside into the damp air,"Men butun hosilni yoqtirmayman va ertalab vaqtimni sochimni turmaklash uchun sarflashni xohlamayman, faqat nam havoda yurganimdan so'ng bir daqiqa ichida sochlarimni butunlay buzadi.",1
i feel we have a wonderful thing called a minute breathing space you can stop any time in the day even when you are driving along the motorway or in the middle of an important telephone call,"Men bizda bir daqiqalik nafas olish bo'shlig'i deb ataladigan ajoyib narsa borligini his qilyapman, siz kunning istalgan vaqtida to'xtashingiz mumkin, hatto avtomobil yo'li bo'ylab harakatlanayotganingizda yoki muhim telefon qo'ng'irog'i o'rtasida ham",1
i then said i dont know what you believe the most important day you have ever lived is but i want to share with you what i feel the most important day of your life is,"Men keyin siz yashagan eng muhim kun nima ekanligiga ishonishingizni bilmayman dedim, lekin men hayotingizdagi eng muhim kun nima ekanligini siz bilan baham ko'rmoqchiman.",1
i feel that time frame is going properly i m keen on you plenty probably we could repeat this once more and then the lady may possibly grin at you as well as claim the girl loves as well,"Men vaqt oralig'i to'g'ri ketayotganini his qilyapman, men sizni juda yaxshi ko'raman, ehtimol biz buni yana bir bor takrorlashimiz mumkin va keyin xonim sizga jilmayib qo'yishi mumkin, shuningdek, qiz ham sevishini da'vo qilishi mumkin.",1
i feel so bitchy suddenly,Men birdan o'zimni juda yomon his qildim,3
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,"Men u menga buvi rolini o'z zimmasiga olganini his qilyapman, chunki mening sevimli buvim endi men bilan emas",1
i like to finish on a positive note that whenever i feel a bit fearful or down i can just remember something nice about me and rich and it cheers me up,"Men ijobiy fikr bilan yakunlashni yaxshi ko'raman, qachonki o'zimni bir oz qo'rquv yoki tushkun his qilsam, men va boy haqida yaxshi narsalarni eslay olaman va bu meni xursand qiladi.",4
i feel defective or something,Men o'zimni nuqsonli yoki biror narsa his qilyapman,0
i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,"Ayni paytda o'zimni juda kichkina his qilyapman, chunki men juda g'azablanaman, chunki men hozir singanman va bu meni g'azablantiradi",3
i feel so lucky to have the opportunity to be here,Men bu erda bo'lish imkoniyatiga ega bo'lganim uchun o'zimni juda baxtli his qilyapman,1
i enjoy my life and wish to help as many people as possible to feel fabulous about themselves but i can only show the way,"Men hayotimdan zavqlanaman va imkon qadar ko'proq odamlarga o'zlarini ajoyib his qilishlariga yordam berishni xohlayman, lekin men faqat yo'lni ko'rsata olaman",1
i was failing to perform my expected duties and worrying about things i may have forgotten yesterday when i was starting to feel rather crappy,"Men kutilgan vazifalarimni bajara olmadim va kecha unutgan narsalarim haqida qayg'urardim, o'zimni juda yomon his qila boshlaganimda",0
i sit here looking at the sentence i just typed i feel quite shocked,"Men shu yerda o‘tirib, hozirgina yozgan jumlaga qarab, hayratda qoldim",5
i understand the feeling so i wouldnt be shocked,"Men tuyg'uni tushunaman, shuning uchun hayratda qolmayman",5
ive been really angry with r and i feel like an idiot for trusting him in the first place,Men r dan juda g'azablanganman va birinchi navbatda unga ishonganim uchun o'zimni ahmoqdek his qilyapman,1
i sighed feeling like she was doomed to fail at this sort of thing,"Men u bu kabi ishlarda muvaffaqiyatsizlikka mahkum bo'lganini his qilib, xo'rsindim",0
i said quietly too tired to feel anguished anything but resigned,"— dedim jimgina juda charchaganimni his qilolmayman, lekin iste'foga chiqdim",0
i know you do not have time to read a long email but i truly feel blessed to be a part of your remarkable journey,"Bilaman, sizda uzoq xatni o'qishga vaqtingiz yo'q, lekin sizning ajoyib sayohatingizning bir qismi bo'lganimdan juda baxtiyorman",2
i feel most apprehensive about each week probably because it is the one most likely to unavoidably show me my shortcomings as a runner,"Men har haftadan qo'rqaman, chunki u yuguruvchi sifatida mening kamchiliklarimni muqarrar ravishda ko'rsatishi mumkin.",4
i feel what the law states suggestions is optimistic and beneficial for employees specially all those who wish to rapidly through ramadan he or she said,"Men qonunda ko'rsatilgan takliflar optimistik va xodimlar uchun foydali ekanligini his qilaman, ayniqsa Ramazonni tez o'tishni xohlaydiganlar uchun u",1
i feel on the verge of tears from weariness i look at your sweet face and cant help but tenderly kiss your cheeks,"Men charchaganimdan ko'z yoshlarim yoqasida turganimni his qilyapman, sizning shirin yuzingizga qarayman va yonoqlaringizdan mehr bilan o'pa olmayman",2
i hope you can feel the presence of loved ones right by your side cheering you on and wanting the best for you cos youre not on your own you never are d,"Umid qilamanki, siz yoningizda yaqinlaringiz borligini his qilasiz va sizni quvontiradi va siz uchun eng yaxshisini xohlaysiz, chunki siz yolg'iz emassiz.",2
i was feeling brave tonight so i decided to go for my nd attempt at a vlog,"Bugun kechqurun o'zimni jasoratli his qildim, shuning uchun men vlogga kirishga qaror qildim",1
i was feeling melancholy on a cloudy rainy lonely easter sunday,bulutli yomg'irli yolg'iz Pasxa yakshanbasida o'zimni g'amgin his qilardim,0
i now feel like i look really ugly some people think i look retarted,"Hozir o'zimni juda xunuk ko'rinayotgandek his qilyapman, ba'zilar meni aqli zaif deb o'ylashadi",0
i already feel it is for the bursts and hesitations of last year to mellow into engaged and rhythmic hops forward like his,Men o'tgan yilgi ikkilanishlar va ikkilanishlar unikiga o'xshab oldinga intiluvchan va ritmik sakrashlar uchun ekanligini his qilyapman.,1
i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,"Men uni jinni deb aytsam, men o'zimni mayda his qilyapman, chunki texnik jihatdan u menga sovg'a olishi shart emas",3
i feel like it here are ten of the many sites that keep me entertained on a daily basis,Men bu yerda meni har kuni qiziqtiradigan ko'plab saytlardan o'ntasi ekanligini his qilyapman,1
i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted,"Sizning fikringizcha, siz qanday turmush tarziga ega ekanligingiz menga farqi yo'q.",1
i was having a horrible day and decided i would only feel better if i didnt have red hair anymore so i immedietly went to wal mart and found a box of hair color with the description soft dark brown,"Men dahshatli kunni o'tkazdim va endi qizil sochlarim bo'lmasa, o'zimni yaxshi his qilaman deb qaror qildim, shuning uchun darhol Wal Martga bordim va yumshoq to'q jigarrang tavsifi bilan bir quti soch rangini topdim.",1
i go to little tiny andover and take a walk at night i feel absolutely terrified,Kichkina kichkina joyga boraman va kechasi sayr qilaman,4
i really like it a lot and think its a great fit for me and i love talking to the patients and trying to help them feel less nervous or at least that someone cares about them for a few minutes,Menga bu juda yoqadi va bu men uchun juda mos keladi deb o'ylayman va men bemorlar bilan suhbatlashishni va ularga kamroq asabiylashishga yordam berishga harakat qilishni yaxshi ko'raman yoki hech bo'lmaganda kimdir ularga bir necha daqiqa g'amxo'rlik qiladi.,4
i love that she doesnt always feel brave,Men uning har doim ham jasur his qilmasligini yaxshi ko'raman,1
i live out number two definition which is that i have already had trouble engaging in the evening so now i am feeling as if the reason the aim for which i did this was not achieved and i am now unsuccessful,"Men ikkinchi raqamli ta'rifda yashayman, bu men allaqachon kechqurun mashg'ulotlarda qiynalganman, shuning uchun men buni qilgan maqsadimga erishilmaganini his qilyapman va men hozir muvaffaqiyatsizman.",0
i was feeling pretty impressed with myself,Men o'zimni juda hayratda qoldirdim,5
i feel whos work is worthwhile in this world and actually makes me cry,Men bu dunyoda kimning ishi qimmatli ekanligini his qilaman va meni yig'laydi,1
i love autumn and everything that comes with it although i feel i am getting excited for christmas way too early this year me and my friends including a href http andthenwear,"Men kuzni va u bilan birga keladigan hamma narsani yaxshi ko'raman, garchi bu yil Rojdestvo uchun juda erta hayajonlanayotganimni his qilyapman, men va do'stlarim, shu jumladan href http va keyin kiyim",1
my girlfriend sent me a letter with a shiny picture in it,qiz do'stim menga yorqin rasmli xat yubordi,1
i worked today on writing and making sure the rest of the house was as perfect as i could make it to feel our own peaceful sense of order pm linda writing always makes you feel better and accomplished too,Men bugun yozish ustida ishladim va uyning qolgan qismi o'zimizning tinch tartib tuyg'usini his qilishim mumkin bo'lgan darajada mukammal ekanligiga ishonch hosil qildim.,1
im not feeling joyful or spiritually fit,Men o'zimni quvnoq yoki ruhiy jihatdan sog'lom his qilmayapman,1
i do feel jaded very often,Men juda tez-tez charchaganimni his qilaman,0
i feel grouchy or short tempered then the guilt kicks in,"Men o'zimni jahldor yoki jahldor his qilyapman, keyin aybdorlik hissi boshlanadi",3
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,"Men har doim kim u bilan ringga chiqsa, ular uning qo'llari va oyoqlaridan shunchalik qo'rqib ketishlarini his qilamanki, ular hatto chindan ham harakat qilishmaydi.",4
i feel hateful of myself for being alone,yolg'iz qolganim uchun o'zimdan nafratlanaman,3
i feel highly burdened and incapacitated by my stupid flaring legs,O'zimni ahmoqona yonayotgan oyoqlarim tufayli juda og'ir va ojiz his qilyapman,0
i feel fabulous,o'zimni ajoyib his qilyapman,1
i would watch him and feel frustrated he didn t realize that fifteen feet away was the ocean the freaking wave crashing covering the majority of the earth ocean,"Men uni kuzatardim va u o'n besh fut uzoqlikda okean borligini anglamaganidan hafsalasi pir bo'lardim, u yer okeanining ko'p qismini qoplagan dahshatli to'lqin",3
i find them downright amusing but other times i feel slugged in that vulnerable spot knowing that i ll never have a daughter,"Men ularni juda kulgili ko'raman, lekin boshqa paytlarda men hech qachon qizim bo'lmasligimni bilib, o'sha zaif joyda o'zimni cho'zilgandek his qilaman",4
i feel there is really no point in me loving him after getting to know his true color,Uning asl qiyofasini bilganimdan keyin uni sevishimdan ma'no yo'qligini his qilyapman,2
i can wear anything and not feel bad,Men hamma narsani kiyishim mumkin va o'zimni yomon his qilmayman,0
i definitely feel like hot stuff strutting down the road in it a href http,"Men, albatta, yo'lda bir href http strutting issiq narsalar kabi his qilaman",2
i feel style of charming creepy macabre drinks the fountain,Men favvorani ichadigan maftunkor ürpertici makabre uslubini his qilyapman,1
i feel abit hopeless at times man darn itttt,Ba'zida o'zimni biroz umidsiz his qilaman man darn itttt,0
i feel some control over caring for the little ones finances future decisions family tensions tough friendships you name it,"Men kichkintoylarga g'amxo'rlik qilish ustidan nazoratni his qilyapman, kelajakdagi qarorlarni moliyalash, oilaviy tanglik, qattiq do'stlik",2
i definitely recommend this for anyone who is feeling depressed or anxious,Men buni albatta tushkunlikka tushgan yoki tashvishga tushgan har bir kishiga tavsiya qilaman,0
i feel like im still just caught in the rat race living a morally acceptable life without actually doing anything to serve you or live from a fire consuming heart,"Men hali ham kalamushlar poygasiga tushib qolgandek, sizga xizmat qilish uchun hech narsa qilmasdan yoki o't o'chiruvchi yurakdan yashamasdan axloqiy jihatdan maqbul hayot kechirayotgandek his qilyapman",1
i feel awfully blessed,Men o'zimni juda baxtli his qilyapman,1
i am feeling a little less delicate i will attempt to clean up this hovel,"Men o'zimni biroz nozik his qilyapman, men bu uyni tozalashga harakat qilaman",2
when my beloved grandfather died,mening sevimli bobom vafot etganida,0
i feel my heart is in your hands your love is all that i demand so give me a chance to show you sweet romance a href http creativecommons,"Men yuragim sizning qo'lingizda ekanligini his qilyapman, faqat sizning sevgingiz men talab qiladi, shuning uchun menga sizga shirin romantikani ko'rsatish imkoniyatini bering a href http creativecommons",2
im happy to have this in my kitchen but it feels like someone rushed this out and cut corners,"Bu mening oshxonamda borligidan xursandman, lekin kimdir buni shoshilinch ravishda olib chiqib, burchaklarni kesib tashlaganga o'xshaydi",3
i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,"O'ylaymanki, bu dunyoda hammamiz aqllimiz, faqat qanday qilib tug'ilganingizga qarab, agar siz xato qilish uchun tug'ilgan bo'lsangiz, yaxshi emas, lekin sizda hali ham yaxshi narsalar bo'ladi, faqat siz buni tushunib etasiz. Umid qilamanki, uni hech kim o'qimagan img src http baham ko'rdi",1
i do not believe there is any child that deep in the depths of their soul does not feel a longing for their mother,Men qalbining tubida onasini sog'inmaydigan bola borligiga ishonmayman.,2
i feel like this another one of the more underrated records on the album not going to be the most popular but an amazing record nonetheless,"Menimcha, bu albomdagi eng past baholangan yozuvlardan biri eng mashhur bo'lmaydi, lekin baribir ajoyib rekorddir.",1
i feel doubtful even when i am struggling a bit with my faith even when times seem dark or i feel alone i know that god is with me,"Hatto vaqtlar qorong'i bo'lib ko'rinsa ham yoki o'zimni yolg'iz his qilsam ham, e'tiqodim bilan biroz kurashganimda ham o'zimni shubhali his qilaman, men xudo men bilan ekanligini bilaman",4
i feel awful that these thoughts are running around in my head but i can t help it,"Bu fikrlar miyamda aylanib yurganidan dahshatli his qilaman, lekin men bunga yordam berolmayman",0
i feel inside of me that it was not in vain,Bu bejiz emasligini ichimda his qilyapman,0
i feel overwhelmed and humbled but i am alive to keep slugging and i m grateful for the chance,"Men o'zimni hayajonlangan va kamtar his qilyapman, lekin men sekin harakat qilish uchun tirikman va imkoniyat uchun minnatdorman",5
i keep feeling that sometimes one just has to fake it till they make it,"Men ba'zida buni amalga oshirmaguncha, uni soxtalashtirish kerakligini his qilaman",0
i didn t feel smug as i added the hardships of the last five years and rounded off the sum to a nice even number,"Men o'zimni o'zimni o'zimni yomon his qilmadim, chunki men so'nggi besh yildagi qiyinchiliklarni qo'shib, summani yaxshi juft raqamga yaxlitladim.",1
i normally associate with a tough workout moving from side to side in bed has become more of an effort my sleep is pretty interrupted and uncomfortable in general although much better with the aid of a benadryl and there are times when i feel like i could never be energetic again,"Men odatda to'shakda u yoqdan bu yoqqa harakat qilish bilan mashg'ul bo'laman, uyqum ancha buzildi va umuman noqulay bo'ldi, garchi benadril yordamida ancha yaxshi bo'lsam va o'zimni hech qachon bo'lolmaydigandek his qilgan paytlarim bor. yana baquvvat",1
i just naturally feel like i m a better player,Men tabiiy ravishda o'zimni yaxshiroq o'yinchi ekanligimni his qilyapman,1
i feel angered by this,Men bundan g'azablanganimni his qilyapman,3
i go into work when im feeling low ill only feel worse all or nothing thinking e,"Men o'zimni yomon his qilganimda ishga kirishaman, faqat yomonroq his qilaman yoki hech narsa o'ylamayman",0
i feel fantastic and i find that i have a renewed sense of strength and endurance,Men o'zimni ajoyib his qilyapman va menda kuch va chidamlilik hissi yangilanganini bilaman,1
i know someone who needs to feel respected above all else who maybe deep down worries hes not worthy of that respect because hes insecure about where he comes from,"Men hamma narsadan ustun bo'lishi kerak bo'lgan odamni bilaman, u bu hurmatga loyiq emasligidan xavotirda bo'lishi mumkin, chunki u qayerdan kelganiga ishonchsizdir.",1
i have found this site to be a huge help to keep my in the moment when im feeling stressed or missing drinking,Men bu saytni o'zimni stressga duchor qilgan yoki ichishni sog'inib qolgan paytlarda saqlab qolish uchun katta yordam deb bildim,0
i feel that there is something valuable about herzog s study particularly as it relates to the idea of art and media influencing society and culture,"Men Gerzogning tadqiqotida qimmatli narsa borligini his qilaman, chunki u jamiyat va madaniyatga ta'sir qiluvchi san'at va ommaviy axborot vositalari g'oyasi bilan bog'liq.",1
i can sit out on my deck and soak up warmth and sun and sometimes it feels ok that the world is still standing even though i am not,"Men palubamga o'tirib, issiqlik va quyoshni singdira olaman va ba'zida men bo'lmasam ham, dunyo hali ham turgandek tuyuladi.",1
i think i might be lacking in judgment about what matters and what doesnt but why do i feel like this is just going to go away in the most unfortunate regretful way possible,"O'ylaymanki, nima muhim va nima muhim emasligi to'g'risida qaror qabul qila olmayman, lekin nima uchun men buni eng baxtsiz afsus bilan o'tib ketadigandek his qilyapman",0
i turn feeling ridiculously awkward and very self conscious to face zayne,Men o'zimni kulgili darajada noqulay his qildim va Zeyn bilan yuzma-yuz uchrashdim,0
i want to feel energetic again and when i do just that bit of exercise every day be it minutes i feel more awake energized and more focused,"Men o'zimni yana baquvvat his qilishni xohlayman va har kuni bir necha daqiqa mashq qilsam, o'zimni ko'proq hushyor va kuchlangan his qilaman",1
i feel fucked is available to pre order from a href http churchoffuck,"Men o'ylaymanki, http churchoffuck dan oldindan buyurtma berish mumkin",3
i already feel myself becoming more casual in my fandom,Men o'zimning fandomimda o'zimni oddiyroq bo'lib qolganimni his qilyapman,1
i kept doing research on bathroom renovations and all that research just resulted in me feeling more confused than ever about to how to go about tackling what to me felt like a mammoth task,Men hammomni ta'mirlash bo'yicha tadqiqotlar olib borishda davom etdim va bu izlanishlarning barchasi men uchun mamont vazifasidek tuyulgan narsani qanday hal qilish haqida har qachongidan ham ko'proq sarosimaga tushdim.,4
i can be as kind as an angel but sometimes i can also be as mean as a devil i used to use harsh words when i feel irritated,"Men farishtadek mehribon bo'lishim mumkin, lekin ba'zida shayton kabi qo'pol bo'lishim mumkin, men asabiylashganimda qattiq so'zlarni ishlatardim",3
i want to feel and maybe something i am feeling convinced myself of the nvm state of mind i am in after due deliberations,Men biror narsani his qilmoqchiman va ehtimol men o'zimni kerakli mulohazalardan so'ng o'zimning nvm ruhiy holatimga amin bo'lyapman,1
im a firm believer that nothing makes a woman feel much more terrific than a great trip to the salon to lift her spirits a bit,Men hech narsa ayolning kayfiyatini biroz ko'tarish uchun salonga sayohat qilishdan ko'ra dahshatliroq his qila olmasligiga qat'iy ishonaman.,1
i always feel invigorated while listening to her that we can win this war against predatory school deform,"Yirtqich maktab deformatsiyasiga qarshi bu urushda g'alaba qozonishimiz mumkinligi haqida uning so'zlarini tinglab, men doimo o'zimni tetik his qilaman",1
i an asylum seeker who i don t know how they live in this country without feeling assaulted,"men boshpana izlovchiman, ular bu mamlakatda tajovuzga uchramasdan qanday yashashlarini bilmayman",4
i often feel that i m being submissive by not being open and honest about my desires and needs on a regular basis,Men muntazam ravishda istaklarim va ehtiyojlarim haqida ochiq va halol bo'lmaslik tufayli o'zimni itoatkor ekanligimni his qilaman.,0
i feel the calm,Men xotirjamlikni his qilyapman,1
ive been feeling reluctant intermittent and lacklustre to pen my thoughts down,Men o'zimni vaqti-vaqti bilan o'zimni istamay qoldim va o'z fikrlarimni yozishni istamasdim,4
i feel very numb at the moment,hozir o'zimni juda xira his qilyapman,0
i think i am still feeling a little groggy from that,"O'ylaymanki, men hali ham bundan biroz zerikarliman",0
i feel like im a violent mother,Men o'zimni zo'ravon ona kabi his qilyapman,3
i sure feel sorry for what happened to your friend diego he was your friend right,Men sizning do'stingiz bilan sodir bo'lgan voqea uchun afsusdaman Diego u sizning do'stingiz edi,0
i write this i still have that vaguely spacy feeling and im not sure ill be an effective human being,"Men buni yozyapman, menda hali ham o'sha noaniq bo'shliq hissi bor va men samarali inson bo'lishimga ishonchim komil emas",1
i were to ever get married i d have everything ready to offer to him because i ve got it together and when i do go out to clubs even the perfect good looking guys feel intimated after talking to me about my clever self,"Men turmushga chiqishim kerak edi, men unga taklif qilish uchun hamma narsaga tayyorman, chunki men birga bo'ldim va klublarga borganimda, hatto ajoyib ko'rinishdagi yigitlar ham mening aqlli o'zim haqida gaplashgandan so'ng, o'zlarini yaqin his qilishadi.",1
i feel like i cant take it anymore i told my boyfriend and he is furious,"Men o'zimni boshqa chiday olmayotgandek his qilyapman, yigitimga aytdim va u g'azablandi",3
ive found myself feeling low and at other times sad,Men o'zimni past his qilardim va ba'zida g'amgin edim,0
i woke up feeling pretty rotten from the weekend this morning even though yesterday i felt fine,"Kecha o'zimni yaxshi his qilgan bo'lsam ham, bugun ertalab dam olish kunidan juda chirigandek uyg'ondim",0
i am nauseous and dizzy and feel all gloomy or at least not attached to my body anymore,Ko'nglim ayniyapti va boshim aylanyapti va o'zimni g'amgin his qilyapman yoki hech bo'lmaganda endi tanamga bog'lanmaganman,0
i have been struggling with this feeling of being damaged,Men bu zararlanish hissi bilan kurashdim,0
i am not in general feeling particularly virtuous this month,Men bu oyda o'zimni juda yaxshi his qilmayapman,1
im feeling adventurous and my laundry hamper,Men o'zimni sarguzashtli his qilyapman va kir yuvishga to'sqinlik qilyapman,1
i feel blessed to have had years with him and i am thankful for all i learned from him,Men u bilan ko'p yillar o'tganimdan baxtiyorman va undan o'rganganim uchun minnatdorman,1
i still pretty much feel ashamed and i m certain i m disappointed in my weaknesses i know for fact i am angry and upset and that s just for one situation,"Men hali ham juda uyalaman va ishonchim komilki, zaif tomonlarimdan hafsalam pir bo'ldi, men bilaman, men g'azablanganman va xafaman va bu faqat bitta vaziyat uchun",0
i feel less valued cause i dont look good,"Men o'zimni kam qadrli his qilyapman, chunki men yaxshi ko'rinmayman",1
i can feel their joy and excitement for the opportunity to receive these vital ordinances,Men bu muhim farmonlarni qabul qilish imkoniyatidan ularning quvonch va hayajonlarini his qila olaman,1
i feel that phrase implies a calm orderly procession in which i would remove the refuse from my,"Menimcha, bu ibora osoyishta tartibli yurishni anglatadi, unda men o'zimdan radlarni olib tashlaaman",1
i can eat but allow myself one naughty item of my choice to avoid feeling deprived,"Men yeyishim mumkin, lekin o'zimni tanlagan yaramas narsaga ruxsat beraman",0
i proclaim to have lost a bit of my sanity and feel so shaky,Men aqlimni biroz yo'qotganimni va o'zimni juda qaltirab qolganimni e'lon qilaman,4
i am feeling rather delicate due to alot of white wine and a considerable amount of dancing one of my best friends ended up in a amp e due to a fractured wrist caused by excessive dancing,"Ko'p oq sharob va ko'p raqsga tushganim tufayli o'zimni juda nozik his qilyapman, mening eng yaxshi do'stlarimdan biri haddan tashqari raqs tufayli bilagim singanligi sababli amplitudaga tushib qoldi.",2
i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,"Menga buni qilishimni aytishdi va men bundan keyin nima bo'lishidan qo'rqib, tuzatishdan qo'rqaman.",4
i feel uncomfortable with the fact i am so powerless at the moment,Men hozir juda kuchsiz ekanligimdan o'zimni noqulay his qilyapman,4
as a child i suffered of nightmares even since than,Bolaligimda men bundan beri dahshatli tush ko'raman,4
i feel resentful and really work that resentment until i blow up,Men o'zimni xafa his qilyapman va portlagunimcha bu xafagarchilik bilan ishlayman,3
i just feel so fucked up these days,Shu kunlarda o'zimni juda xafa his qilyapman,3
i worked out monday and tuesday but i was feeling so crappy on wednesday that i went home and decided to make it a rest day,"Men dushanba va seshanba kunlari mashq qildim, lekin chorshanba kuni o'zimni juda yomon his qildimki, uyga bordim va uni dam olish kuni qilishga qaror qildim.",0
i feel that each point is equally important than each,Men har bir nuqta har biridan bir xil darajada muhim deb hisoblayman,1
i spent all day the other day feeling very morose because every once in awhile it would hit me that hilmari is dead,"O'tgan kun bo'yi o'zimni o'zimni juda xafa his qildim, chunki vaqti-vaqti bilan Xilmarining o'lganligi menga ta'sir qilardi.",0
i feel so gloomy this independence day,Mustaqillik kunida o'zimni juda g'amgin his qilyapman,0
i feel almost embarrassed at my own contribution because its ridiculously unsophisticated and it is pretty much immune to alteration by any of the things that are happening here,"Men o'zimning hissamdan deyarli xijolat bo'ldim, chunki u bema'ni va bu erda sodir bo'layotgan har qanday narsaning o'zgarishiga qarshi immunitetga ega.",0
i am in no way complaining or whining or feeling ungrateful,"Men hech qanday shikoyat qilmayman, nola qilmayman yoki noshukur his qilmayman",0
i am very fascinated by it and don t feel so uptight by the many challenges life has because of it,Bu meni juda hayratda qoldirdi va hayotning ko'plab qiyinchiliklari tufayli o'zimni juda qattiq his qilmayman,4
i feel better now,Men hozir yaxshi his qilyapman,1
i dont know what crazy girl i think her name was katja does for a living i feel like she should just do what i do in real life and be some sort of disheartened disallusioned clerk,"Men bilmayman, uning ismi Katja tirikchilik uchun nima bilan shug'ullanadi, men u haqiqiy hayotda men qilgan ishni qilishi va qandaydir ko'ngli to'qilgan kotib bo'lishi kerak deb o'ylayman.",0
i want to feel like i m reading something worthwhile,Men o'zimni foydali narsalarni o'qiyotgandek his qilmoqchiman,1
i felt low at this point with missing people i know and i love but feeling helpless to do it,"Men o'zim bilgan yo'qolgan odamlardan o'zimni past his qildim va men yaxshi ko'raman, lekin buni qilish uchun ojiz his qildim",4
